Departamentos,2019,2020,2021,2022,2023,2024
LA LIBERTAD,366,390,262,162,26441,12315
PIURA,70,125,4072,12143,79640,9295
ICA,51,7144,4208,5083,16901,8363
LIMA,46,350,1190,938,29999,7965
ANCASH,20,0,28,2143,11655,6839
LAMBAYEQUE,770,568,843,2382,31528,3510
SAN MARTiN,1969,4055,4532,4269,6900,2412
LORETO,2547,7800,5115,8922,6610,2129
TUMBES,508,3093,1455,723,12893,1464
CUSCO,54,2499,1982,3686,2635,1378
UCAYALI,213,9781,3140,4836,8178,1370
JUNIN,482,3738,5090,4153,3587,1075
CALLAO,0,4,9,8,2351,1059
CAJAMARCA,398,266,4015,3633,7486,700
HUANUCO,35,1133,2811,1579,2295,601
AMAZONAS,164,873,2369,3571,3270,520
MADRE DE DIOS,7398,3233,1333,3636,1847,310
PASCO,36,377,616,496,1158,223
PUNO,65,20,51,25,265,179
AYACUCHO,95,1583,1663,780,708,168
APURIMAC,0,0,0,0,0,0
HUANCAVELICA,0,0,0,0,0,0
AREQUIPA,0,0,7,0,0,0
MOQUEGUA,0,0,0,0,0,0
TACNA,0,0,0,0,0,0
TOTAL,15287,47032,44791,63168,256347,61875